TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
30990,3099,3599,D,D,
31009,3100,3599,D,D,
33122,3312,3599,D,D,
33159,3315,3599,D,D,
22199,2219,3610,D,D,
22299,2229,3610,D,D,
28170,2817,3610,D,D,
29301,2930,3610,D,D,
30110,3011,3610,D,D,
30200,3020,3610,D,D,
30300,3030,3610,D,D,
31001,3100,3610,D,D,
31002,3100,3610,D,D,
31003,3100,3610,D,D,
31009,3100,3610,D,D,
,,3610,D,D,"delete TSIC=95240, LFS11=9524"
22210,2221,3666,D,D,
32111,3211,3691,D,D,
32112,3211,3691,D,D,
32113,3211,3691,D,D,
32120,3212,3691,D,D,
32201,3220,3692,D,D,
32209,3220,3692,D,D,
33190,3319,3692,D,D,
32301,3230,3693,D,D,
32302,3230,3693,D,D,
32303,3230,3693,D,D,
32309,3230,3693,D,D,
32903,3290,3693,D,D,
26409,2640,3694,D,D,
28299,2829,3694,D,D,
32401,3240,3694,D,D,
32402,3240,3694,D,D,
32409,3240,3694,D,D,
33122,3312,3694,D,D,
33190,3319,3694,D,D,
13999,1399,3699,D,D,
15122,1512,3699,D,D,
16291,1629,3699,D,D,
16299,1629,3699,D,D,
17099,1709,3699,D,D,
20291,2029,3699,D,D,
22199,2219,3699,D,D,
22299,2229,3699,D,D,
25999,2599,3699,D,D,
28299,2829,3699,D,D,
30922,3092,3699,D,D,
32901,3290,3699,D,D,
32902,3290,3699,D,D,
32904,3290,3699,D,D,
32909,3290,3699,D,D,
33122,3312,3699,D,D,
38300,3830,3710,D,D,
38300,3830,3720,D,D,
35101,3510,4010,E,E,
35102,3510,4010,E,E,
35201,3520,4020,E,E,
35202,3520,4020,E,E,
35301,3530,4030,E,E,
35302,3530,4030,E,E,
36001,3600,4100,E,E,
36002,3600,4100,E,E,
36003,3600,4100,E,E,
36009,3600,4100,E,E,
,,4510,F,F,"delete TSIC=09900, LFS11=0990"
,,4510,F,F,"delete TSIC=39000, LFS11=3900"
43110,4311,4510,F,F,
43120,4312,4510,F,F,
41001,4100,4520,F,F,
41002,4100,4520,F,F,
42101,4210,4520,F,F,
42102,4210,4520,F,F,
42201,4220,4520,F,F,
42202,4220,4520,F,F,
42901,4290,4520,F,F,
42909,4290,4520,F,F,
43901,4390,4520,F,F,
43909,4390,4520,F,F,
43210,4321,4530,F,F,
43221,4322,4530,F,F,
43222,4322,4530,F,F,
43223,4322,4530,F,F,
43301,4330,4530,F,F,
43909,4390,4530,F,F,
,,4540,F,F,"delete TSIC=33200, LFS11=3320"
43291,4329,4540,F,F,
43299,4329,4540,F,F,
43301,4330,4540,F,F,
43302,4330,4540,F,F,
43303,4330,4540,F,F,
43309,4330,4540,F,F,
43909,4390,4540,F,F,
43120,4312,4550,F,F,
43909,4390,4550,F,F,
45101,4510,5010,G,G,
45102,4510,5010,G,G,
45103,4510,5010,G,G,
45104,4510,5010,G,G,
45201,4520,5020,G,G,
45202,4520,5020,G,G,
45203,4520,5020,G,G,
